Change,Expiration,High,Last,Low,Symbol,Volume,time
372.02,,16798.79,16523.31,16451.0,GXBT,,57:42.5
70.0,1/17/2018,18850.0,17830.0,15420.0,XBT/F8,3444.0,57:42.5
17890.0,2/14/2018,19140.0,17890.0,17730.0,XBT/G8,31.0,57:42.5
18180.0,3/14/2018,19330.0,18180.0,14710.0,XBT/H8,86.0,57:42.5
870.1,,17200.0,17021.39,16437.32,GXBT,,23:05.6
2890.0,1/17/2018,18850.0,18350.0,15420.0,XBT/F8,3791.0,23:05.6
540.0,2/14/2018,19140.0,18540.0,17730.0,XBT/G8,45.0,23:05.7
2210.0,3/14/2018,19330.0,18640.0,14710.0,XBT/H8,93.0,23:05.7
1048.7,,17200.0,17199.99,16437.32,GXBT,,2017-12-11 14:33:05.937535
3070.0,01/17/2018,18850.0,18530.0,15420.0,XBT/F8,3831.0,2017-12-11 14:33:05.937535
540.0,02/14/2018,19140.0,18540.0,17730.0,XBT/G8,45.0,2017-12-11 14:33:06.083535
2410.0,03/14/2018,19330.0,18840.0,14710.0,XBT/H8,94.0,2017-12-11 14:33:06.083535
1264.15,,17455.0,17415.44,16437.32,GXBT,,2017-12-11 14:43:06.483535
3130.0,01/17/2018,18850.0,18590.0,15420.0,XBT/F8,3861.0,2017-12-11 14:43:06.483535
750.0,02/14/2018,19140.0,18750.0,17730.0,XBT/G8,51.0,2017-12-11 14:43:06.573535
2550.0,03/14/2018,19330.0,18980.0,14710.0,XBT/H8,97.0,2017-12-11 14:43:06.573535
1273.72,,17488.0,17425.01,16437.32,GXBT,,2017-12-11 14:53:06.892535
3190.0,01/17/2018,18850.0,18650.0,15420.0,XBT/F8,3873.0,2017-12-11 14:53:06.892535
750.0,02/14/2018,19140.0,18750.0,17730.0,XBT/G8,51.0,2017-12-11 14:53:06.981535
2550.0,03/14/2018,19330.0,18980.0,14710.0,XBT/H8,97.0,2017-12-11 14:53:06.981535
